product_name,generated_description,latency_ms,input_tokens,output_tokens,cost_usd
Instant Pot Duo 6‑Quart,"The Instant Pot Duo 6-Quart is a versatile multicooker that combines seven functions in one compact package. Its stainless steel inner pot is durable and easy to clean, while the 1000W heating element quickly brings your dishes to a boil. Weighing in at a light and manageable weight, this Instant Pot is perfect for home cooks who want to explore a range of recipes. Plus, it's backed by a 1-year limited warranty.",2887.5,823,94,2.21e-05
Keurig K‑Supreme Plus Smart,"Description:
Elevate your coffee experience with the Keurig K‑Supreme Plus Smart. This large-capacity brewer boasts a 78 oz reservoir, perfect for busy households. Multistream extraction and BrewID technology work together to deliver a rich and full-bodied cup every time. The sleek design features brushed stainless steel accents, and with a 1-year limited warranty, you can trust your new brewer to perform.",2738.9,813,87,2.148e-05
Vitamix 5200 Blender,"The Vitamix 5200 Blender is a powerhouse of a machine, delivering variable speed control and a robust 2-hp motor that can tackle even the toughest blending tasks. The self-cleaning feature makes maintenance a breeze, and the BPA-free Tritan jar is a durable, long-lasting choice. With a 7-year warranty, you can trust that your investment will last.",2355.7,814,79,2.102e-05
Dyson V15 Detect Vacuum,"The Dyson V15 Detect Vacuum is a powerful cleaning companion that shines a light on hidden dust and dirt. Equipped with laser dust detection, it illuminates the invisible, while HEPA filtration captures 99.97% of microscopic particles. With up to 60 minutes of run-time, you can tackle messes without interruption. Built from durable polycarbonate and aluminum, this vacuum is designed to last, and Dyson backs it with a 2-year parts and labor warranty.",2831.0,814,99,2.222e-05
iRobot Roomba j7+,"Meet the iRobot Roomba j7+, a cutting-edge robot vacuum that navigates with ease thanks to its PrecisionVision technology. This sleek device also features a self-emptying Clean Base, making maintenance a breeze. With seamless integration with Alexa, you can control it with just your voice. The Roomba j7+ boasts an award-winning design that's as stylish as it is effective, all backed by a 1-year limited warranty.",3417.7,810,89,2.154e-05
Yeti Rambler 20 oz Tumbler,"The Yeti Rambler 20 oz Tumbler is a compact, kitchen-grade stainless steel tumbler designed to keep drinks hot or cold. Its double-wall vacuum insulation ensures temperature retention, while the MagSlider lid provides a secure and leak-resistant seal. Perfect for everyday use, this tumbler is backed by a 5-year warranty.",2282.8,813,72,2.058e-05
Stanley Quencher H2.0 40 oz,"The Stanley Quencher H2.0 40 oz is a reliable choice for staying hydrated on-the-go. Made from recycled stainless steel, this tumbler features vacuum insulation to keep drinks hot or cold for hours. A flow-state lid makes sipping easy, and the cup-holder friendly design ensures a secure fit in your car's holder. With a lifetime warranty, you can trust this durable tumbler to keep up with your active lifestyle.",3718.3,813,92,2.178e-05
Hydro Flask 32 oz Wide Mouth,"The Hydro Flask 32 oz Wide Mouth is a compact, insulated tumbler that keeps drinks hot or cold for hours. Its TempShield insulation and Color Last powder coat ensure a durable, long-lasting finish. The pro-grade stainless steel construction withstands daily use, and Hydro Flask covers each one with a lifetime warranty.",2632.7,805,65,2e-05
Contigo Autoseal West Loop 16 oz,"Stay hydrated on-the-go with the Contigo Autoseal West Loop 16 oz. This compact, stainless steel bottle features a leak-proof autoseal lid that closes automatically when you tilt the bottle, ensuring your drinks stay contained. Double-wall insulation keeps liquids at the right temperature, and the durable stainless steel construction withstands daily use. With a lifetime warranty, you can trust this bottle to keep up with your active lifestyle.",2718.3,809,87,2.14e-05
Nike Air Zoom Pegasus 40,"Description:
Take your runs to the next level with the Nike Air Zoom Pegasus 40. This shoe features React foam for responsive cushioning and Zoom Air units for added bounce. The engineered mesh upper provides a comfortable, breathable fit. Plus, its energy-efficient design helps you power through your workout. With a 2-year manufacturer warranty, you can trust this shoe to keep up with your active lifestyle.",3108.1,807,82,2.106e-05
Adidas Ultraboost Light,"Experience the comfort and performance of the Adidas Ultraboost Light. This sleek shoe features a Light BOOST midsole for a responsive feel, paired with a Primeknit+ upper that provides a snug, sock-like fit. Continental rubber outsoles offer durability and traction. With a 4.7/5 rating from satisfied customers, the Ultraboost Light is a top choice for runners and fitness enthusiasts. Crafted from a blend of textile and synthetic materials, it's built to last, and backed by a 2-year manufacturer warranty.",6356.5,814,109,2.282e-05
The North Face ThermoBall Eco Jacket,"Stay warm and sustainable with The North Face ThermoBall Eco Jacket. This compact, eco-friendly jacket features synthetic ThermoBall insulation that traps heat, while a DWR finish repels water. Crafted from 100% recycled nylon, it's a responsible choice for outdoor enthusiasts. With a lifetime warranty, you can trust this jacket to keep up with your adventures.",2037.9,806,75,2.062e-05
Patagonia Black Hole 32 L Backpack,"The Patagonia Black Hole 32 L Backpack is a weather-resistant companion for your adventures. Its large capacity is perfect for extended trips, and the laptop sleeve keeps your gear secure. Padded straps ensure a comfortable carry, and the entire pack is crafted from 100% recycled polyester ripstop. With a lifetime warranty, you can trust this durable backpack to keep up with your active lifestyle.",3183.0,811,80,2.102e-05
Osprey Farpoint 40,"Travel with ease and confidence in the Osprey Farpoint 40. This versatile backpack features a stowaway harness that lets you switch between backpack and carry-on mode in seconds. A dedicated laptop sleeve keeps your tech safe, and the 450D recycled nylon construction is both durable and eco-friendly. Whether you're exploring the city or venturing abroad, the Farpoint 40 is a reliable companion, covered by Osprey's lifetime warranty.",2632.7,807,92,2.166e-05
LEGO Star Wars Millennium Falcon 75192,"Build the ultimate Star Wars experience with the LEGO Star Wars Millennium Falcon 75192. This iconic spaceship is crafted from 7,541 intricate ABS plastic bricks, offering a level of detail that's simply out of this galaxy. The interior is just as impressive, with a wealth of hidden features waiting to be discovered. The set includes a range of minifigures, and with a long-lasting battery powering the build process, you can focus on creating something truly epic. And with a lifetime replacement of missing bricks, you can enjoy your masterpiece for years to come.",4447.5,813,114,2.31e-05
LEGO Icons Botanical Orchid 10311,"Bring the beauty of nature indoors with the LEGO Icons Botanical Orchid 10311. This stunning, decorative set features 608 intricately designed pieces that allow you to create adjustable blooms in multiple color options. Crafted from high-quality ABS plastic bricks, this model is a true masterpiece of LEGO artistry. And with a lifetime replacement warranty for missing bricks, you can build with confidence.",2704.6,809,79,2.092e-05
Kindle Paperwhite 11th Gen,"Get lost in a good book with the Kindle Paperwhite 11th Gen. This compact e-reader boasts a 6.8″ glare-free display that lets you read for hours without eye strain. The device is powered by a 10-week battery and charges via USB-C, making it easy to stay immersed in your favorite stories. Crafted from recycled plastic, the Kindle Paperwhite is a sustainable way to enjoy your love of reading, backed by a 1-year limited warranty.",2032.4,816,98,2.22e-05
Kobo Libra 2,"The Kobo Libra 2 is a versatile e-reader that combines a 7″ E Ink Carta display with seamless Bluetooth connectivity for audiobooks. Its waterproof design, rated IPX8, lets you enjoy reading in any environment. The device itself is remarkably light, making it easy to carry. With a plastic chassis and 1-year limited warranty, the Kobo Libra 2 is a reliable companion for your reading adventures.",2354.1,815,90,2.17e-05
Anker Soundcore Motion+ Speaker,"Experience powerful sound on the go with the Anker Soundcore Motion+ Speaker. This compact speaker delivers 30W of audio and supports Hi-Res playback, ensuring a rich and detailed listening experience. With an IPX7 waterproof rating, you can enjoy your music by the pool or at the beach without worrying about the elements. The aluminum grille adds a touch of premium style, and Anker backs it up with an 18-month warranty.",2749.2,809,90,2.158e-05
Sonos Move 2,"Description:
Take your music outdoors with the Sonos Move 2, a portable speaker that seamlessly connects to your home WiFi or Bluetooth devices. With up to 24 hours of battery life, you can enjoy your favorite tunes all day long. Automatic Trueplay tuning ensures crystal-clear sound, and the shock-resistant shell protects it from the elements. With a 4.7/5 rating, you can trust that the Sonos Move 2 delivers a superior listening experience.",2327.8,816,95,2.202e-05
Philips Hue White & Color Ambiance Starter Kit,"Experience the full spectrum of color and ambiance with the Philips Hue White & Color Ambiance Starter Kit. This limited edition kit lets you explore 16 million colors and adjust lighting to suit any mood. With seamless integration via Bluetooth and Zigbee, you can control your lights with ease. Plus, voice control allows for effortless adjustments. Philips Hue's innovative technology is backed by a 2-year limited warranty, ensuring your smart lighting experience is both vibrant and worry-free.",2663.7,811,93,2.18e-05
TP‑Link Deco XE75 Mesh WiFi 6E,"Experience seamless WiFi coverage with the TP-Link Deco XE75 Mesh WiFi 6E. This 3-pack system is designed to cover up to 7,200 sq ft, ensuring reliable connections throughout your home. With tri-band AXE5400 technology, you can enjoy fast and stable speeds. The long-lasting battery is part of the system's design, providing consistent performance. And with a 2-year limited warranty, you can trust this mesh network to keep your devices connected.",2168.0,825,100,2.25e-05
Eufy Video Doorbell Dual,"The Eufy Video Doorbell Dual is a smart doorbell that keeps you informed with a dual camera setup and 2K resolution. The package detection feature alerts you to deliveries, and the long-lasting battery ensures uninterrupted monitoring. The plastic housing provides a durable exterior, and with a 1-year limited warranty, you can trust this device to keep your home secure.",1818.6,809,75,2.068e-05
Blink Outdoor 4,"The Blink Outdoor 4 is a discreet, weather-resistant security camera that captures 1080p HD footage. Its 2-year battery life means less maintenance, and the compact design fits easily in any outdoor space. This limited edition model is built with durable plastic and backed by a 1-year limited warranty.",2056.6,808,63,1.994e-05
Corsair K100 RGB Keyboard,"Experience the Corsair K100 RGB Keyboard, a large and premium keyboard designed for gamers and typists alike. Its brushed aluminum frame provides a sturdy and durable build, while the Cherry MX Speed switches deliver fast and tactile feedback. With 4000 Hz polling, you can enjoy seamless and responsive performance. The K100 RGB Keyboard is built to last, backed by a 2-year warranty.",2201.9,808,79,2.09e-05
Logitech MX Master 3S,"Description:
Elevate your productivity with the Logitech MX Master 3S. This advanced mouse boasts an 8K DPI sensor for precise tracking, paired with MagSpeed scroll for seamless navigation. Connect via Bolt or Bluetooth for reliable performance, and choose from multiple color options to match your style. With a 1-year limited warranty, you can trust the MX Master 3S to keep up with your busy workflow.",1954.9,810,86,2.136e-05
Razer DeathAdder V3 Pro,"Elevate your gaming experience with the Razer DeathAdder V3 Pro, an ultralight mouse that weighs just 63 grams. The 30K DPI Focus Pro sensor delivers precise tracking, while a long-lasting battery keeps you gaming for hours. Crafted from durable plastic, this mouse is built to last, and Razer backs it with a 2-year warranty.",1673.1,813,78,2.094e-05
Samsung 980 Pro 2 TB NVMe SSD,"Description:
Experience lightning-fast storage with the Samsung 980 Pro 2 TB NVMe SSD. This high-performance drive leverages PCIe 4.0 to deliver read speeds of up to 7,000 MB/s, making it perfect for demanding applications. A nickel coating adds durability to the drive's components, while a long-lasting design ensures reliability. Crafted with a combination of PCB and NAND flash, this SSD is built to last, and Samsung backs it with a 5-year limited warranty.",2154.9,824,101,2.254e-05
Seagate Portable 5 TB HDD,"Description:
Store up to 5 TB of files with the Seagate Portable 5 TB HDD, a compact external drive that connects via USB 3.0 for fast data transfer. Its 2.5″ form factor makes it easy to take on the go, and the plug-and-play design gets you up and running quickly. With a 4.7/5 rating from satisfied customers, this portable hard drive is a reliable choice for expanding your storage capacity.",2861.1,822,95,2.214e-05
SanDisk Extreme PRO 128 GB SDXC,"Capture life's adventures with the SanDisk Extreme PRO 128 GB SDXC. This rugged memory card is designed to keep up with your active lifestyle, featuring UHS-I U3 speeds and read rates of up to 200 MB/s. Plus, it's waterproof, so you can shoot in confidence. The long-lasting design ensures you can rely on it for your high-speed storage needs, and SanDisk covers it with a lifetime limited warranty.",3684.9,813,90,2.166e-05
Kingston Fury Beast 32 GB DDR5,"Upgrade your gaming rig with the Kingston Fury Beast 32 GB DDR5 RAM. This high-performance memory module boasts speeds of 6000 MT/s, making it perfect for demanding applications. With Intel XMP 3.0 support, you can easily overclock and fine-tune your system. The low-profile heat spreader keeps temperatures in check, and the aluminum construction ensures durability. Plus, Kingston's lifetime warranty gives you peace of mind.",3106.1,817,89,2.168e-05
Acer Predator XB273U 27″ Monitor,"Experience the Acer Predator XB273U 27″ Monitor, a large display that delivers crisp visuals with its 2560×1440 170 Hz IPS panel. HDR400 support enhances color and contrast, while G-Sync Compatible technology ensures smooth gameplay. The sturdy design features a combination of plastic and metal in the stand, providing a solid foundation for this high-performance monitor. Backed by a 3-year warranty, this Predator monitor is designed to meet the demands of gamers and professionals alike.",4202.6,819,100,2.238e-05
BenQ PD2725U 27″ Monitor,"Experience stunning visuals on the BenQ PD2725U 27″ Monitor, featuring a 4K UHD IPS display that covers 98% of the P3 color space. With Thunderbolt 3 connectivity, you can easily transfer data and power your devices. The sleek metal stand provides a sturdy base for this high-resolution monitor, and BenQ backs it with a 3-year warranty.",1791.2,817,81,2.12e-05
ASUS ProArt PA278QV Monitor,"Experience precise color and vibrant visuals with the ASUS ProArt PA278QV Monitor. This 27″ IPS display boasts a 2560×1440 resolution and 100% sRGB color gamut, making it perfect for creative professionals. Calman Verified ensures accurate color representation. The monitor's light weight and sturdy metal stand provide a comfortable viewing experience. With a 3-year warranty, you can trust this monitor to deliver reliable performance.",4085.3,817,90,2.174e-05
