product_name,generated_description,latency_ms,input_tokens,output_tokens,cost_usd
Fitbit Charge 6,"Track your fitness journey with the Fitbit Charge 6. This sleek device features a built-in heart-rate monitor and GPS, giving you a clear picture of your progress. With a 7-day battery life, you can wear it consistently without worrying about recharging. The aluminum case is durable and available in multiple color options to suit your style. Fitbit stands behind its quality with a 1-year limited warranty.",2493.4,877,84,2.258e-05
GoPro HERO12 Black,"Capture life's most epic moments with the GoPro HERO12 Black. This rugged camera shoots stunning 5.3K60 video, while HyperSmooth 6.0 stabilization ensures silky-smooth footage. With a large capacity and waterproof design that can dive to 10 meters, you can take it anywhere. Built from durable polycarbonate, the HERO12 Black is designed to withstand the toughest adventures. Backed by a 1-year limited warranty, it's the perfect companion for your next adrenaline-fueled escapade.",2935.6,883,107,2.408e-05
DJI Mini 4 Pro Drone,"Capture breathtaking aerial footage with the DJI Mini 4 Pro Drone. This compact drone weighs in at under 250 grams, making it easy to take on the go. The Mini 4 Pro boasts 4K/60fps video capabilities and advanced omnidirectional obstacle sensing, giving you confidence in your flight. Constructed from durable composite plastic, this drone is built to last, and DJI backs it with a 1-year limited warranty.",2242.6,885,91,2.316e-05
Nintendo Switch OLED,"Experience gaming in a new light with the Nintendo Switch OLED. This console boasts a vibrant 7″ OLED screen that brings games to life, whether you're playing docked or handheld. The large storage capacity of 64 GB means you can store more of your favorite titles. The durable plastic chassis provides a solid foundation for the device. With a 1-year limited warranty, you can enjoy your gaming sessions with confidence.",4240.6,876,85,2.262e-05
PlayStation 5 Slim,"Experience the future of gaming with the PlayStation 5 Slim, a sleek console that brings ray tracing and haptic feedback to life. The 1 TB SSD ensures seamless loading and fast performance, while the long-lasting battery keeps your controller charged through marathon gaming sessions. The console's plastic shell provides a durable foundation for your immersive gaming experience, backed by a 1-year limited warranty.",4077.6,875,77,2.212e-05
Xbox Series X,"Experience the ultimate gaming performance with the Xbox Series X. This powerhouse console boasts a 12 TFLOPS GPU, delivering stunning visuals in 4K at 120 Hz. The 1 TB SSD ensures seamless loading and fast access to your games. The long-lasting design means you can play without interruption. The Xbox Series X is encased in a sleek, matte black finish that complements any gaming setup. Backed by a 1-year limited warranty, this console is built to provide you with a premium gaming experience.",4851.3,884,106,2.404e-05
Instant Pot Duo 6‑Quart,"The Instant Pot Duo 6‑Quart is a versatile 7‑in‑1 multicooker that's perfect for busy home cooks. Its stainless steel inner pot is built to last, and the 1000 W heating element quickly brings dishes to a boil. Weighing in at a light 14.5 pounds, it's easy to move around the kitchen. The entire unit is crafted from 18/8 stainless steel, and it's backed by a 1‑year limited warranty.",3885.6,889,103,2.396e-05
Keurig K‑Supreme Plus Smart,"Elevate your coffee routine with the Keurig K-Supreme Plus Smart. This large-capacity brewer boasts a 78 oz reservoir, perfect for busy households. Multistream extraction and BrewID technology work together to deliver a rich, consistent flavor in every cup. The sleek design features brushed stainless steel accents, adding a touch of sophistication to your countertop. With a 1-year limited warranty, you can trust this brewer to provide years of reliable performance.",4722.7,879,97,2.34e-05
Vitamix 5200 Blender,"The Vitamix 5200 Blender is a powerhouse for your kitchen, offering variable speed control and a 2‑hp motor that can tackle even the toughest ingredients. The self‑cleaning feature makes maintenance a breeze. The blender's sustainably sourced design is a bonus for eco-conscious cooks. The BPA-free Tritan jar is durable and easy to clean. With a 7-year warranty, you can trust this blender to be a long-term kitchen companion.",2872.8,880,95,2.33e-05
Dyson V15 Detect Vacuum,"The Dyson V15 Detect Vacuum is a powerful cleaning tool that uses laser dust detection to identify hidden dirt and debris. With HEPA filtration, you can trust that it captures 99.97% of particles as small as 0.3 microns. The vacuum's 60-minute run-time means you can tackle larger spaces without needing a break. Its durable construction features a combination of polycarbonate and aluminum, and Dyson backs it with a 2-year parts and labor warranty.",4681.9,880,100,2.36e-05
iRobot Roomba j7+,"Meet the iRobot Roomba j7+, a robot vacuum that navigates with PrecisionVision, avoiding obstacles and cleaning with ease. This self-emptying Clean Base model seamlessly empties its bin, and with Alexa integration, you can control it with just your voice. The j7+ boasts an award-winning design that's as sleek as it is effective, all housed in a durable plastic body. With a 1-year limited warranty, you can trust this Roomba to keep your floors clean and your home tidy.",4909.2,876,104,2.376e-05
Yeti Rambler 20 oz Tumbler,"The Yeti Rambler 20 oz Tumbler is a compact, double-wall vacuum insulated tumbler that keeps drinks hot or cold for hours. Its MagSlider lid provides a secure seal and easy sipping. Crafted from kitchen-grade stainless steel, this tumbler is built to last. With a 5-year warranty, you can trust it to stay by your side through many adventures.",3185.0,879,83,2.256e-05
Stanley Quencher H2.0 40 oz,"Stay refreshed on-the-go with the Stanley Quencher H2.0 40 oz. This tumbler is crafted from recycled stainless steel and features vacuum insulation to keep drinks hot or cold for hours. The flow-state lid makes sipping easy, and the cup-holder friendly design ensures it fits securely in your car's holder. With a lifetime warranty, you can trust this durable tumbler to keep up with your active lifestyle.",3892.2,879,89,2.292e-05
Hydro Flask 32 oz Wide Mouth,"Stay refreshed on-the-go with the compact Hydro Flask 32 oz Wide Mouth. This pro-grade stainless steel tumbler features TempShield insulation to keep drinks hot or cold for hours. The durable Color Last powder coat finish resists fading, ensuring your Hydro Flask stays looking great. With a lifetime warranty, you can trust this compact companion to keep up with your active lifestyle.",3994.3,871,76,2.198e-05
Contigo Autoseal West Loop 16 oz,"Stay refreshed on-the-go with the Contigo Autoseal West Loop 16 oz. This compact, stainless steel bottle features a clever autoseal spill-proof lid that keeps drinks contained, even when the bottle is tipped. Double-wall insulation keeps your beverages hot or cold for hours. With its durable stainless steel construction, you can trust this bottle to keep up with your active lifestyle, backed by a lifetime warranty.",3620.9,875,84,2.254e-05
Nike Air Zoom Pegasus 40,"Description:
Take your runs to the next level with the Nike Air Zoom Pegasus 40. This shoe features React foam for responsive cushioning and Zoom Air units for added bounce. The engineered mesh upper provides a lightweight, breathable fit. With a 2-year manufacturer warranty, you can trust that your shoe will keep up with your active lifestyle.",3035.6,873,70,2.166e-05
Adidas Ultraboost Light,"Experience the comfort and performance of the Adidas Ultraboost Light. This shoe features a Light BOOST midsole for a responsive feel, while the Primeknit+ upper provides a snug, supportive fit. Continental rubber ensures traction on a variety of surfaces. With a 4.7/5 rating from satisfied customers, you can trust the Adidas Ultraboost Light to deliver. Crafted from a combination of textile and synthetic materials, this shoe is built to last, and backed by a 2-year manufacturer warranty.",4891.9,880,104,2.384e-05
The North Face ThermoBall Eco Jacket,"Stay warm and eco-friendly with The North Face ThermoBall Eco Jacket. This compact jacket features synthetic ThermoBall insulation that traps warmth, while a DWR finish repels water. Made from 100% recycled nylon, it's a sustainable choice for outdoor enthusiasts. With a lifetime warranty, you can trust this jacket to keep up with your adventures.",2476.0,872,72,2.176e-05
Patagonia Black Hole 32 L Backpack,"The Patagonia Black Hole 32 L Backpack is a weather-resistant companion for your outdoor adventures. Its large capacity and padded straps make it easy to carry your gear, while the laptop sleeve keeps your tech safe and secure. Crafted from 100% recycled polyester ripstop, this durable backpack is built to withstand the elements. With a lifetime warranty, you can trust it to keep up with your active lifestyle.",2703.2,877,84,2.258e-05
Osprey Farpoint 40,"Travel in comfort with the Osprey Farpoint 40. This versatile backpack features a stowaway harness for easy on-and-off, a dedicated laptop sleeve for protection, and a carry-on size that fits in most overhead bins. Made from 450D recycled nylon, the Farpoint 40 is built to last. And with a lifetime warranty, you can trust it to keep up with your adventures.",2648.3,873,83,2.244e-05
LEGO Star Wars Millennium Falcon 75192,"Bring the galaxy far, far away to life with the LEGO Star Wars Millennium Falcon 75192. This epic model features 7,541 intricately designed pieces, allowing for a level of detail that's simply out of this world. The interior is just as impressive, with space for minifigures to explore. Constructed from high-quality ABS plastic bricks, this set is built to last. And with a lifetime replacement warranty for missing bricks, you can focus on building, not replacing.",2435.8,879,100,2.358e-05
LEGO Icons Botanical Orchid 10311,"Bring a touch of elegance to your space with the LEGO Icons Botanical Orchid 10311. This intricate, 608-piece decorative set allows you to create adjustable blooms, capturing the beauty of nature in miniature. With multiple color options to choose from, you can tailor the look to your home's unique style. Constructed from high-quality ABS plastic bricks, this piece is built to last, and LEGO's lifetime replacement policy ensures that any missing pieces can be easily replaced.",2512.4,875,96,2.326e-05
Kindle Paperwhite 11th Gen,"Get lost in a good book with the Kindle Paperwhite 11th Gen, featuring a 6.8″ glare-free display that lets you read comfortably in any light. Its compact design makes it easy to take on the go, and the 10-week battery life means you can read for weeks without needing a recharge. The device is crafted from recycled plastic and comes with a 1-year limited warranty.",2404.3,882,83,2.262e-05
Kobo Libra 2,"Discover a reading experience like no other with the Kobo Libra 2. This e-reader boasts a 7″ E Ink Carta display, perfect for crisp text and vibrant colors. With Bluetooth connectivity, you can seamlessly switch between reading and listening to audiobooks. Plus, its waterproof design (IPX8) lets you enjoy your favorite stories by the pool or beach, all without worrying about damage. The Kobo Libra 2's light weight makes it easy to take on the go, and it's backed by a 1-year limited warranty.",2648.3,881,115,2.452e-05
Anker Soundcore Motion+ Speaker,"Experience powerful sound on the go with the Anker Soundcore Motion+ Speaker. This compact speaker delivers 30W of audio and supports Hi-Res playback for crystal-clear sound. With an IPX7 waterproof rating, you can take it to the beach or pool without worry. The aluminum grille adds a touch of durability, and Anker backs it with an 18-month warranty for peace of mind.",3081.5,875,82,2.242e-05
Sonos Move 2,"Experience the freedom to move with the Sonos Move 2. This portable speaker seamlessly connects to your home WiFi or Bluetooth network, and its 24-hour battery life lets you enjoy music on the go. Automatic Trueplay tuning ensures a great sound no matter where you place it. The shock-resistant shell protects it from bumps and drops, and Sonos backs it with a 1-year limited warranty.",2451.3,882,81,2.25e-05
Philips Hue White & Color Ambiance Starter Kit,"Transform your space with the Philips Hue White & Color Ambiance Starter Kit. This starter kit lets you create a world of 16 million colors and adjust the ambiance to suit any mood. With seamless integration via Bluetooth and Zigbee, and voice control capabilities, you can effortlessly manage your lighting from anywhere. Each limited-edition kit comes with plastic bulbs that bring your vision to life. Philips Hue covers each kit with a 2-year limited warranty.",2585.8,877,90,2.294e-05
TP‑Link Deco XE75 Mesh WiFi 6E,"Stay connected with seamless WiFi throughout your home with the TP-Link Deco XE75 Mesh WiFi 6E. This 3-pack system covers up to 7,200 sq ft with tri-band AXE5400 technology, ensuring reliable coverage. Long-lasting batteries power the system, and the plastic construction provides a durable build. With a 2-year limited warranty, you can trust this mesh network to keep your devices connected.",2534.8,891,88,2.31e-05
Eufy Video Doorbell Dual,"Enhance your home's security with the Eufy Video Doorbell Dual. This innovative doorbell features dual cameras, providing a wide-angle view and clear 2K resolution. Package detection is also built-in, alerting you to potential deliveries. A long-lasting battery ensures uninterrupted monitoring, and the plastic housing is designed for durability. With a 1-year limited warranty, you can trust this doorbell to keep your home safe and secure.",2459.2,875,90,2.29e-05
Blink Outdoor 4,"The Blink Outdoor 4 is a weather-resistant security camera that captures 1080p HD footage, perfect for keeping an eye on your home or property. With a 2-year battery life, you can rely on it to keep recording without needing frequent recharging. This limited edition model is built with durable plastic, and Blink backs it up with a 1-year limited warranty.",2237.7,874,77,2.21e-05
Corsair K100 RGB Keyboard,"Elevate your gaming experience with the Corsair K100 RGB Keyboard. This large keyboard features Cherry MX Speed switches for fast and precise actuation, while its 4000 Hz polling rate ensures seamless communication with your system. The keyboard's aluminum frame provides a durable and premium feel. Crafted from brushed aluminum, the K100 RGB Keyboard is built to last, and backed by a 2-year warranty.",2231.9,874,83,2.246e-05
Logitech MX Master 3S,"Elevate your productivity with the Logitech MX Master 3S. This advanced mouse boasts an 8K DPI sensor for precise navigation, paired with the innovative MagSpeed scroll wheel for seamless control. Plus, it connects via both Bolt and Bluetooth for flexible pairing options. Available in multiple color choices, the MX Master 3S is built with durable plastic and backed by a 1-year limited warranty.",2134.4,876,83,2.25e-05
Razer DeathAdder V3 Pro,"The Razer DeathAdder V3 Pro is a precision gaming mouse designed to deliver exceptional performance. Weighing in at just 63 grams, it's an ultralight option for gamers who demand speed and agility. The 30K DPI Focus Pro sensor provides accurate tracking, and the long-lasting battery ensures you can game for extended periods without interruption. The mouse is crafted from durable plastic and backed by a 2-year warranty.",3124.7,879,89,2.292e-05
Samsung 980 Pro 2 TB NVMe SSD,"Experience lightning-fast storage with the Samsung 980 Pro 2 TB NVMe SSD. This high-performance drive leverages PCIe 4.0 to deliver read speeds of up to 7,000 MB/s, making it perfect for demanding applications. The nickel coating adds a touch of durability, and the PCB & NAND flash construction ensures a reliable build. Samsung backs the 980 Pro with a 5-year limited warranty, giving you peace of mind for your data.",2861.3,890,94,2.344e-05
Seagate Portable 5 TB HDD,"Store and organize your files with the Seagate Portable 5 TB HDD. This compact drive connects via USB 3.0 and is plug-and-play ready, making it easy to get started. With a 2.5"" form factor, it's designed to fit in small spaces. The plastic shell provides a durable exterior, and Seagate backs each drive with a 1-year limited warranty.",2354.1,888,81,2.262e-05
SanDisk Extreme PRO 128 GB SDXC,"Capture life's adventures with the SanDisk Extreme PRO 128 GB SDXC. This rugged memory card is built to withstand the elements, with a waterproof design that keeps your data safe. With UHS-I U3 speeds and 200 MB/s read rates, you can quickly transfer files from your camera or other device. The long-lasting battery life ensures you can keep shooting without interruption, and the plastic construction provides a durable foundation for your storage needs.",2764.2,879,91,2.304e-05
Kingston Fury Beast 32 GB DDR5,"Upgrade your system with the Kingston Fury Beast 32 GB DDR5 RAM kit. This high-performance memory module operates at 6000 MT/s and is optimized for Intel XMP 3.0, ensuring seamless integration with your motherboard. The low-profile heat spreader design helps to efficiently dissipate heat, while the aluminum construction provides a durable foundation. With a lifetime warranty, you can trust the Fury Beast to deliver reliable performance for years to come.",3967.3,883,91,2.312e-05
Acer Predator XB273U 27″ Monitor,"Unleash high-speed gaming with the Acer Predator XB273U 27″ Monitor. This large display boasts a 2560×1440 resolution and 170 Hz refresh rate, paired with HDR400 for rich visuals. The IPS panel delivers vibrant colors and wide viewing angles. The sturdy metal and plastic stand provides a solid foundation for the monitor, and Acer backs it with a 3-year warranty.",3170.8,885,82,2.262e-05
BenQ PD2725U 27″ Monitor,"Experience stunning visuals with the BenQ PD2725U 27″ Monitor, featuring a 4K UHD IPS display that covers 98% of the P3 color space. This high-resolution monitor is connected via Thunderbolt 3, offering fast and versatile connectivity. The durable metal stand provides a sturdy base for your workspace, and BenQ backs the PD2725U with a 3-year warranty for added peace of mind.",3927.4,883,89,2.3e-05
ASUS ProArt PA278QV Monitor,"Experience precise color and clarity with the ASUS ProArt PA278QV Monitor. This 27″ IPS display boasts a 2560×1440 resolution and 100% sRGB color space, ensuring vibrant and accurate visuals. Calman Verified certification guarantees a high level of color accuracy. The monitor's light weight and sturdy metal stand make it easy to position and adjust. With a 3-year warranty, you can trust this monitor to deliver reliable performance.",2953.0,883,93,2.324e-05
