financebench_id,question,correctness,faithfulness,page_hit_at_1,page_hit_at_3,page_hit_at_5
financebench_id_01487,Did JnJ's net earnings as a percent of sales increase in Q2 of FY2023 compared to Q2 of FY2022?,incorrect,,0,1,1
financebench_id_01488,"Which business segment of JnJ will be treated as a discontinued operation from August 30, 2023 onward?",incorrect,,0,1,1
financebench_id_01490,"What is the amount of the gain accruing to JnJ as a result of the separation of its Consumer Health business segment, as of August 30, 2023?",incorrect,,0,0,0
financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",incorrect,,1,1,1
financebench_id_01858,Does 3M maintain a stable trend of dividend distribution?,correct,,0,0,1
financebench_id_01865,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",incorrect,,0,0,0
financebench_id_01902,Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,incorrect,,0,0,0
financebench_id_01911,What was MGM's interest coverage ratio using FY2022 Adjusted EBIT as the numerator and annual Interest Expense as the denominator?,incorrect,,0,0,0
financebench_id_01912,Which region had the worst topline performance for MGM during FY2022?,correct,,0,0,0
financebench_id_01928,What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023,incorrect,,0,0,0
financebench_id_01930,"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",incorrect,,0,0,0
financebench_id_01935,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,incorrect,,0,0,0
financebench_id_01936,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,incorrect,,0,0,1
financebench_id_01964,What was the largest liability in American Express's Balance Sheet in 2022?,incorrect,,0,0,0
financebench_id_01981,Was American Express able to retain card members during 2022?,incorrect,,0,0,0
financebench_id_02024,"As of FY 2021, how much did Verizon expect to pay for its retirees in 2024?",incorrect,,0,0,0
financebench_id_02049,"Looking at VaR, did the risk that JPM faced in the second fiscal quarter of 2023 decrease compared to the same period in the prior year?",incorrect,,0,1,1
financebench_id_02119,"If JPM went bankrupted by the end by 2021 Q1 and liquidated all of its assets to pay its shareholders, how much could each shareholder get?",incorrect,,0,0,0
financebench_id_02416,What are three main companies acquired by Pfizer mentioned in this 10K report?,incorrect,,0,0,0
financebench_id_02419,"As of Q2'2023, is Pfizer spinning off any large business segments?",incorrect,,0,0,0
